Product Id,Product Handle,Product Title,Product Status,Product Description,Product Subtitle,Product External Id,Product Thumbnail,Product Collection Id,Product Type Id,Product Created At,Product Deleted At,Product Discountable,Product Height,Product Hs Code,Product Image 1,Product Image 2,Product Image 3,Product Is Giftcard,Product Length,Product Material,Product Mid Code,Product Origin Country,Product Sales Channel 1,Product Tag 1,Product Tag 2,Product Tag 3,Product Tag 4,Product Updated At,Product Weight,Product Width,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Origin Country,Variant Price INR,Variant Price PKR,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01K20ME37KW189HXKM3RT1AJMX,allah-name-round-calligraphy,Circle of Divine Names | Islamic Calligraphy Art,draft,"This captivating piece of Islamic calligraphy features the name of Allah elegantly placed above a circular formation of intricate script in deep maroon and black. The core of the circle highlights one of Allahs powerful attributes, radiating spirituality and reverence. Framed with delicate corner motifs and a silver border, its a perfect blend of sacred symbolism and ornamental grace. Ideal for prayer areas, living rooms, or offices seeking a divine touch.",Sacred words woven in symmetry  a timeless tribute to Allahs grandeur.,,,pcol_01K20QJP2W99M1SCX97RN2CR45,,2025-08-06T21:26:14.008Z,,true,20,,http://localhost:9000/static/1754515595810-images%20(1).jpg,,,false,1,,,pk,sc_01K20F4ZKA5B6EPMVVZRNSBFAW,Shape-based Art,Allah & Islamic Names ,,,2025-08-06T22:21:30.607Z,,18,variant_01K20ME3A5NMC35YQNZH47V552,Default variant,,,,,,false,false,,2025-08-06T21:26:14.086Z,,,,,,Default option,Default option value,,3899,12999,prod_01K20ME37KW189HXKM3RT1AJMX,2025-08-06T21:26:14.086Z,0,,
prod_01K20MSWN66FHN4MM7XV2VAEQF,divine-lines-of-tawheed-frame,Divine Lines of Tawheed | Islamic Calligraphy Frame,draft,"This stunning horizontal calligraphy piece features the name of Allah in large, golden Arabic script, accompanied by beautifully penned Quranic verses emphasizing the oneness of God (Tawheed). Framed in a polished gold border, this minimalist composition brings calm, clarity, and sacred energy to any space. Ideal for living rooms, prayer corners, or offices that reflect spiritual identity.",Elegant expression of faith  the name of Allah with the essence of Tawheed in graceful script.,,http://localhost:9000/static/1754515960334-Frame%207.jpg,pcol_01K20R62AR9QZM8R9AQKJ2RCH5,,2025-08-06T21:32:40.488Z,,true,15,,http://localhost:9000/static/1754515960334-Frame%207.jpg,,,false,2,,,pk,sc_01K20F4ZKA5B6EPMVVZRNSBFAW,Allah & Islamic Names ,Verses from Quran,,,2025-08-06T22:32:48.295Z,,30,variant_01K20MSWPMTMGHCP0Q4YBVK3MY,Default variant,,,,,,false,false,,2025-08-06T21:32:40.532Z,,,,,,Default option,Default option value,,3590,12000,prod_01K20MSWN66FHN4MM7XV2VAEQF,2025-08-06T21:32:40.532Z,0,,
prod_01K20MXVNB0960JMW591DED198,kufic-kalima-geometric-islamic-art,Minimalist Kalima in Kufic Script | Geometric Islamic Art,draft,"This striking artwork presents the Kalima (Islamic declaration of faith) in Kufic script, known for its geometric, block-like design. Rendered in high contrast black and white tones with precise symmetry, this piece fuses ancient script with modern minimalism. Set against a warm-textured golden background and framed with a classic border, its a powerful centerpiece for any contemporary or traditional interior.",A bold statement of faith  structured in divine geometry.,,http://localhost:9000/static/1754516090371-Frame%206.jpg,pcol_01K20R62AR9QZM8R9AQKJ2RCH5,,2025-08-06T21:34:50.541Z,,true,24,,http://localhost:9000/static/1754516090371-Frame%206.jpg,http://localhost:9000/static/1754516090376-images%20(3).jpg,,false,2,,,pk,sc_01K20F4ZKA5B6EPMVVZRNSBFAW,Verses from Quran,,,,2025-08-06T22:32:48.295Z,,26,variant_01K20MXVPXZ4HKCGFVK55Y7KWW,Default variant,,,,,,false,false,,2025-08-06T21:34:50.589Z,,,,,,Default option,Default option value,,4490,15000,prod_01K20MXVNB0960JMW591DED198,2025-08-06T21:34:50.589Z,0,,
prod_01K20N2J04FX4FP4MHZPKBNCCD,sujood-calligraphy-prayer-art,Calligraphy in Sujood | Devotion in Form,draft,"This heartfelt artwork captures the act of sujood (prostration in prayer) through an intricate calligraphic figure. The body of the worshipper is composed entirely of Arabic script, flowing to form limbs and posture in a powerful visual metaphor of devotion and surrender. With traditional lanterns and warm earthy tones, its a soulful addition to prayer rooms or spaces seeking tranquility and spiritual reflection.",Sacred verses shaped by submission  a visual prayer in ink.,,http://localhost:9000/static/1754516244341-images%20(4).jpg,pcol_01K20Q2632ETFG0AVAXCRAFGQW,,2025-08-06T21:37:24.485Z,,true,18,,http://localhost:9000/static/1754516244341-images%20(4).jpg,,,false,,,,pk,sc_01K20F4ZKA5B6EPMVVZRNSBFAW,Shape-based Art,,,,2025-08-06T22:12:56.299Z,,26,variant_01K20N2J1PWVZ6NMXZ9JKV8BR5,Default variant,,,,,,false,false,,2025-08-06T21:37:24.535Z,,,,,,Default option,Default option value,,2990,10000,prod_01K20N2J04FX4FP4MHZPKBNCCD,2025-08-06T21:37:24.535Z,0,,
prod_01K20N66YRKN0059GVKSCA8PF1,golden-kalima-kufic-maze-art,Golden Kalima Maze | Kufic Calligraphy Wall Art,draft,"This modern Islamic wall art features the Kalima in striking Kufic script, composed like a maze in radiant gold over a bold black and maroon background. The central black block of text contrasts sharply with the matte-gold Kufic layout, offering a high-impact visual that embodies precision, spirituality, and minimalism. Perfect for living spaces, offices, or artistic prayer areas where tradition meets contemporary design.",Faith meets form  a geometric expression of divine oneness.,,http://localhost:9000/static/1754516364066-Frame%203.jpg,pcol_01K20R62AR9QZM8R9AQKJ2RCH5,,2025-08-06T21:39:24.249Z,,true,26,,http://localhost:9000/static/1754516364066-Frame%203.jpg,,,false,2,,,pk,sc_01K20F4ZKA5B6EPMVVZRNSBFAW,Verses from Quran,,,,2025-08-06T22:32:48.296Z,,26,variant_01K20N66ZZHFP9XNX4G1K30W0N,Default variant,,,,,,false,false,,2025-08-06T21:39:24.287Z,,,,,,Default option,Default option value,,4499,15000,prod_01K20N66YRKN0059GVKSCA8PF1,2025-08-06T21:39:24.287Z,0,,
prod_01K20N9RRW6EF07NP6XE7ND9HH,bowl-of-blessings-islamic-calligraphy,Bowl of Blessings | Islamic Calligraphy in Flow,draft,"This unique Islamic artwork is composed of flowing Arabic calligraphy shaped like a bowl, resting above structured lines of text. The top calligraphy element symbolizes a vessel filled with spiritual wisdom, while the stacked verses represent continuous divine sustenance. Accented with floral corner motifs and enclosed in a rich black frame, this piece makes a serene yet powerful statement. Perfect for homes, libraries, or meditation rooms seeking inspiration and tranquility.",Where words pour like sustenance  a vessel of divine verses.,,http://localhost:9000/static/1754516480657-images%20(6).jpg,pcol_01K20M4VF5CYF38YD9XMFMSK3P,,2025-08-06T21:41:20.799Z,,true,22,,http://localhost:9000/static/1754516480657-images%20(6).jpg,,,false,2,,,pk,sc_01K20F4ZKA5B6EPMVVZRNSBFAW,Shape-based Art,,,,2025-08-06T21:41:20.799Z,,30,variant_01K20N9RT3977Q5V8YCX0F3A80,Default variant,,,,,,false,false,,2025-08-06T21:41:20.836Z,,,,,,Default option,Default option value,,4490,15000,prod_01K20N9RRW6EF07NP6XE7ND9HH,2025-08-06T21:41:20.836Z,0,,
prod_01K20NEAT6RMY2NJZX21QKQJPE,surah-arrahman-calligraphy-monochrome,Then Which of Your Lords Favors? | Monochrome Ayah Art,draft,"This powerful calligraphy artwork features the repeated verse from Surah Ar-Rahman (55:13)  AN(P#NJPQ "DN'!P 1N(PQCOEN' *OCN0PQ(N'FP  masterfully designed in a dramatic black-and-white flow. Set against a smoky grayscale background and enclosed in a detailed silver frame, it captures attention while evoking humility. This piece is ideal for spiritual interiors, Quran corners, or spaces meant to reflect divine gratitude and remembrance.","A timeless verse, boldly inked  a reminder wrapped in reverence.",,http://localhost:9000/static/1754516630189-images%20(8).jpg,pcol_01K20Q2632ETFG0AVAXCRAFGQW,,2025-08-06T21:43:50.344Z,,true,22,,http://localhost:9000/static/1754516630189-images%20(8).jpg,,,false,2,,,pk,sc_01K20F4ZKA5B6EPMVVZRNSBFAW,Verses from Quran,,,,2025-08-06T22:12:56.299Z,,30,variant_01K20NEAVGD8GAC8Z5MHNDACG8,Default variant,,,,,,false,false,,2025-08-06T21:43:50.384Z,,,,,,Default option,Default option value,,4790,16000,prod_01K20NEAT6RMY2NJZX21QKQJPE,2025-08-06T21:43:50.384Z,0,,
prod_01K20NJT3YFNZC5G7JM6Y3W20F,allah-ali-layered-calligraphy-art,Name of Allah & Ali | Layered Calligraphy in Devotion,draft,"This striking piece brings together the name of Allah and Ali (9DJG 'D3D'E) in graceful green calligraphy, centered above and below flowing layers of Arabic script. The tiered structure symbolizes depth in both devotion and reverence, creating a visual ascent from reflection to elevation. The artwork is framed in a classic golden border and bathed in warm tones, making it a perfect fit for prayer spaces, majlis walls, or spiritually inspired interiors.",Faith and love united  a visual harmony of divine remembrance.,,http://localhost:9000/static/1754516776919-Frame%201%20(2).jpg,pcol_01K20R62AR9QZM8R9AQKJ2RCH5,,2025-08-06T21:46:17.088Z,,true,30,,http://localhost:9000/static/1754516776919-Frame%201%20(2).jpg,http://localhost:9000/static/1754516776924-Frame%201.jpg,http://localhost:9000/static/1754516776929-images%20(9).jpg,false,2,,,pk,sc_01K20F4ZKA5B6EPMVVZRNSBFAW,Allah & Islamic Names ,,,,2025-08-06T22:32:48.296Z,,22,variant_01K20NJT56GFDGQSX5S8R42HMK,Default variant,,,,,,false,false,,2025-08-06T21:46:17.126Z,,,,,,Default option,Default option value,,4190,14000,prod_01K20NJT3YFNZC5G7JM6Y3W20F,2025-08-06T21:46:17.126Z,0,,
prod_01K20NP5E8YNZPH57HJ3Y36KJE,core-of-faith-abstract-calligraphy,Core of Faith | Abstract Circular Calligraphy,draft,"This eye-catching Islamic calligraphy piece blends traditional script with modern design in a circular, layered formation. At the heart lies deep red calligraphy, surrounded by precise black script and intersected by diagonal red streaks  symbolizing strength, depth, and connection. Framed with textured black and red borderwork, this piece is a bold visual of balance between tradition and modern spiritual identity. A perfect fit for artistic living rooms, office walls, or gallery-style interiors.",Divine expression in motion  where every circle returns to the center of belief.,,http://localhost:9000/static/1754516886785-Frame%205.jpg,pcol_01K20R62AR9QZM8R9AQKJ2RCH5,,2025-08-06T21:48:06.986Z,,true,28,,http://localhost:9000/static/1754516886785-Frame%205.jpg,,,false,,,,pk,sc_01K20F4ZKA5B6EPMVVZRNSBFAW,Shape-based Art,,,,2025-08-06T22:32:48.296Z,,36,variant_01K20NP5FF7W4YQ73G24W7AG8S,Default variant,,,,,,false,false,,2025-08-06T21:48:07.024Z,,,,,,Default option,Default option value,,4790,16000,prod_01K20NP5E8YNZPH57HJ3Y36KJE,2025-08-06T21:48:07.024Z,0,,
prod_01K20NVK7BHBSQCC3JQ2M0N0K4,golden-kufic-kalima-wall-art,Golden Kalima in Kufic Script | Royal Statement of Faith,draft,"This premium Islamic art piece features the Kalima (Islamic declaration of faith) in a bold Kufic script, rendered in radiant gold on a deep black background. Its precise symmetry and minimal form make it both a powerful religious statement and a piece of modern decor. Encased in a gold frame, the contrast evokes elegance and reverence, ideal for feature walls in living rooms, offices, or Islamic art galleries.","Structured in geometry, elevated in meaning  the essence of Tawheed.",,http://localhost:9000/static/1754517064738-images%20(11).jpg,pcol_01K20QJP2W99M1SCX97RN2CR45,,2025-08-06T21:51:04.950Z,,true,28,,http://localhost:9000/static/1754517064738-images%20(11).jpg,,,false,2,,,pk,sc_01K20F4ZKA5B6EPMVVZRNSBFAW,Verses from Quran,Shape-based Art,,,2025-08-06T22:21:30.607Z,,40,variant_01K20NVKBY55AD28PKVWB9QS27,Default variant,,,,,,false,false,,2025-08-06T21:51:05.087Z,,,,,,Default option,Default option value,,5390,18000,prod_01K20NVK7BHBSQCC3JQ2M0N0K4,2025-08-06T21:51:05.087Z,0,,
